Domain Code,Domain,Area Code (M49),Area,Element Code,Element,Item Code (CPC),Item,Year Code,Year,Unit,Value,Flag,Flag Description,Note
QCL,Crops and livestock products,32,Argentina,5510,Production,24310.01,"Beer of barley, malted",2015,2015,t,1680000,X,Figure from external organization,Unofficial figure
QCL,Crops and livestock products,32,Argentina,5510,Production,24310.01,"Beer of barley, malted",2016,2016,t,1800000,X,Figure from external organization,Unofficial figure
QCL,Crops and livestock products,32,Argentina,5510,Production,24310.01,"Beer of barley, malted",2017,2017,t,1885600,X,Figure from external organization,Unofficial figure
QCL,Crops and livestock products,32,Argentina,5510,Production,24310.01,"Beer of barley, malted",2018,2018,t,1914000,X,Figure from external organization,Unofficial figure
QCL,Crops and livestock products,32,Argentina,5510,Production,24310.01,"Beer of barley, malted",2019,2019,t,1955900,X,Figure from external organization,Unofficial figure
QCL,Crops and livestock products,32,Argentina,5510,Production,24310.01,"Beer of barley, malted",2020,2020,t,1782300,X,Figure from external organization,Unofficial figure
QCL,Crops and livestock products,32,Argentina,5510,Production,24310.01,"Beer of barley, malted",2021,2021,t,1908700,X,Figure from external organization,Unofficial figure
QCL,Crops and livestock products,32,Argentina,5510,Production,24310.01,"Beer of barley, malted",2022,2022,t,2043500,X,Figure from external organization,Unofficial figure
QCL,Crops and livestock products,32,Argentina,5510,Production,24310.01,"Beer of barley, malted",2023,2023,t,2063900,X,Figure from external organization,Unofficial figure
QCL,Crops and livestock products,32,Argentina,5510,Production,1921.02,"Cotton lint, ginned",2015,2015,t,303000,E,Estimated value,
QCL,Crops and livestock products,32,Argentina,5510,Production,1921.02,"Cotton lint, ginned",2016,2016,t,290000,E,Estimated value,
QCL,Crops and livestock products,32,Argentina,5510,Production,1921.02,"Cotton lint, ginned",2017,2017,t,260000,E,Estimated value,
QCL,Crops and livestock products,32,Argentina,5510,Production,1921.02,"Cotton lint, ginned",2018,2018,t,265924,I,Value imputed by a receiving agency,
QCL,Crops and livestock products,32,Argentina,5510,Production,1921.02,"Cotton lint, ginned",2019,2019,t,307912,I,Value imputed by a receiving agency,
QCL,Crops and livestock products,32,Argentina,5510,Production,1921.02,"Cotton lint, ginned",2020,2020,t,367051.96,I,Value imputed by a receiving agency,
QCL,Crops and livestock products,32,Argentina,5510,Production,1921.02,"Cotton lint, ginned",2021,2021,t,343039.22,I,Value imputed by a receiving agency,
QCL,Crops and livestock products,32,Argentina,5510,Production,1921.02,"Cotton lint, ginned",2022,2022,t,391064.71,I,Value imputed by a receiving agency,
QCL,Crops and livestock products,32,Argentina,5510,Production,1921.02,"Cotton lint, ginned",2023,2023,t,295013.73,I,Value imputed by a receiving agency,
QCL,Crops and livestock products,32,Argentina,5510,Production,143,Cotton seed,2015,2015,t,437000,X,Figure from external organization,Unofficial figure
QCL,Crops and livestock products,32,Argentina,5510,Production,143,Cotton seed,2016,2016,t,340000,X,Figure from external organization,Unofficial figure
QCL,Crops and livestock products,32,Argentina,5510,Production,143,Cotton seed,2017,2017,t,310000,X,Figure from external organization,Unofficial figure
QCL,Crops and livestock products,32,Argentina,5510,Production,143,Cotton seed,2018,2018,t,380000,X,Figure from external organization,Unofficial figure
QCL,Crops and livestock products,32,Argentina,5510,Production,143,Cotton seed,2019,2019,t,440000,X,Figure from external organization,Unofficial figure
QCL,Crops and livestock products,32,Argentina,5510,Production,143,Cotton seed,2020,2020,t,535000,X,Figure from external organization,Unofficial figure
QCL,Crops and livestock products,32,Argentina,5510,Production,143,Cotton seed,2021,2021,t,500000,X,Figure from external organization,Unofficial figure
QCL,Crops and livestock products,32,Argentina,5510,Production,143,Cotton seed,2022,2022,t,570000,X,Figure from external organization,Unofficial figure
QCL,Crops and livestock products,32,Argentina,5510,Production,143,Cotton seed,2023,2023,t,430000,X,Figure from external organization,Unofficial figure
QCL,Crops and livestock products,32,Argentina,5510,Production,2168,Cottonseed oil,2015,2015,t,18400,X,Figure from external organization,Unofficial figure
QCL,Crops and livestock products,32,Argentina,5510,Production,2168,Cottonseed oil,2016,2016,t,9900,X,Figure from external organization,Unofficial figure
QCL,Crops and livestock products,32,Argentina,5510,Production,2168,Cottonseed oil,2017,2017,t,7300,X,Figure from external organization,Unofficial figure
QCL,Crops and livestock products,32,Argentina,5510,Production,2168,Cottonseed oil,2018,2018,t,20100,X,Figure from external organization,Unofficial figure
QCL,Crops and livestock products,32,Argentina,5510,Production,2168,Cottonseed oil,2019,2019,t,15304,A,Official figure,
QCL,Crops and livestock products,32,Argentina,5510,Production,2168,Cottonseed oil,2020,2020,t,20361,A,Official figure,
QCL,Crops and livestock products,32,Argentina,5510,Production,2168,Cottonseed oil,2021,2021,t,20110,A,Official figure,
QCL,Crops and livestock products,32,Argentina,5510,Production,2168,Cottonseed oil,2022,2022,t,21425,A,Official figure,
