Domain Code,Domain,Area Code (M49),Area,Element Code,Element,Months Code,Months,Year Code,Year,Unit,Value,Flag,Flag Description
"ET","Temperature change on land","404","Kenya","7271","Temperature change","7006","June","2016","2016","°C","0.664","E","Estimated value"
"ET","Temperature change on land","404","Kenya","7271","Temperature change","7006","June","2017","2017","°C","1.384","E","Estimated value"
"ET","Temperature change on land","404","Kenya","7271","Temperature change","7006","June","2018","2018","°C","0.548","E","Estimated value"
"ET","Temperature change on land","404","Kenya","7271","Temperature change","7006","June","2019","2019","°C","1.522","E","Estimated value"
"ET","Temperature change on land","404","Kenya","7271","Temperature change","7006","June","2020","2020","°C","1.251","E","Estimated value"
"ET","Temperature change on land","404","Kenya","7271","Temperature change","7006","June","2021","2021","°C","1.017","E","Estimated value"
"ET","Temperature change on land","404","Kenya","7271","Temperature change","7006","June","2022","2022","°C","1.27","E","Estimated value"
"ET","Temperature change on land","404","Kenya","7271","Temperature change","7006","June","2023","2023","°C","1.917","E","Estimated value"
"ET","Temperature change on land","404","Kenya","7271","Temperature change","7006","June","2024","2024","°C","1.961","E","Estimated value"
"ET","Temperature change on land","404","Kenya","7271","Temperature change","7006","June","2025","2025","°C","1.422","E","Estimated value"
