Domain Code,Domain,Area Code (M49),Area,Element Code,Element,Months Code,Months,Year Code,Year,Unit,Value,Flag,Flag Description
"ET","Temperature change on land","404","Kenya","7271","Temperature change","7001","January","2016","2016","°C","1.882","E","Estimated value"
"ET","Temperature change on land","404","Kenya","7271","Temperature change","7001","January","2017","2017","°C","1.146","E","Estimated value"
"ET","Temperature change on land","404","Kenya","7271","Temperature change","7001","January","2018","2018","°C","0.628","E","Estimated value"
"ET","Temperature change on land","404","Kenya","7271","Temperature change","7001","January","2019","2019","°C","1.458","E","Estimated value"
"ET","Temperature change on land","404","Kenya","7271","Temperature change","7001","January","2020","2020","°C","1.299","E","Estimated value"
"ET","Temperature change on land","404","Kenya","7271","Temperature change","7001","January","2021","2021","°C","0.912","E","Estimated value"
"ET","Temperature change on land","404","Kenya","7271","Temperature change","7001","January","2022","2022","°C","0.844","E","Estimated value"
"ET","Temperature change on land","404","Kenya","7271","Temperature change","7001","January","2023","2023","°C","1.164","E","Estimated value"
"ET","Temperature change on land","404","Kenya","7271","Temperature change","7001","January","2024","2024","°C","1.981","E","Estimated value"
"ET","Temperature change on land","404","Kenya","7271","Temperature change","7001","January","2025","2025","°C","0.87","E","Estimated value"
